Size	Source	Binary Packages
53828	build-essential	build-essential(Informational list of build-essential packages)+crossbuild-essential-amd64(Informational list of cross-build-essential packages)+crossbuild-essential-arm64(Informational list of cross-build-essential packages)+crossbuild-essential-armel(Informational list of cross-build-essential packages)+crossbuild-essential-armhf(Informational list of cross-build-essential packages)+crossbuild-essential-i386(Informational list of cross-build-essential packages)+crossbuild-essential-mips(Informational list of cross-build-essential packages)+crossbuild-essential-mips64el(Informational list of cross-build-essential packages)+crossbuild-essential-mipsel(Informational list of cross-build-essential packages)+crossbuild-essential-powerpc(Informational list of cross-build-essential packages)+crossbuild-essential-ppc64el(Informational list of cross-build-essential packages)+crossbuild-essential-s390x(Informational list of cross-build-essential packages)
87735	gcc-defaults	cpp(GNU C preprocessor (cpp))+cpp-aarch64-linux-gnu(GNU C preprocessor (cpp) for the arm64 architecture)+cpp-arm-linux-gnueabi(GNU C preprocessor (cpp) for the armel architecture)+cpp-arm-linux-gnueabihf(GNU C preprocessor (cpp) for the armhf architecture)+cpp-i686-linux-gnu(GNU C preprocessor (cpp) for the i386 architecture)+cpp-mips-linux-gnu(GNU C preprocessor (cpp) for the mips architecture)+cpp-mips64el-linux-gnuabi64(GNU C preprocessor (cpp) for the mips64el architecture)+cpp-mipsel-linux-gnu(GNU C preprocessor (cpp) for the mipsel architecture)+cpp-powerpc64le-linux-gnu(GNU C preprocessor (cpp) for the ppc64el architecture)+cpp-s390x-linux-gnu(GNU C preprocessor (cpp) for the s390x architecture)+g++(GNU C++ compiler)+g++-aarch64-linux-gnu(GNU C++ compiler for the arm64 architecture)+g++-arm-linux-gnueabi(GNU C++ compiler for the armel architecture)+g++-arm-linux-gnueabihf(GNU C++ compiler for the armhf architecture)+g++-i686-linux-gnu(GNU C++ compiler for the i386 architecture)+g++-mips-linux-gnu(GNU C++ compiler for the mips architecture)+g++-mips64el-linux-gnuabi64(GNU C++ compiler for the mips64el architecture)+g++-mipsel-linux-gnu(GNU C++ compiler for the mipsel architecture)+g++-multilib(GNU C++ compiler (multilib files))+g++-multilib-i686-linux-gnu(GNU C++ compiler for the i386 architecture)+g++-multilib-mips-linux-gnu(GNU C++ compiler for the mips architecture)+g++-multilib-mips64el-linux-gnuabi64(GNU C++ compiler for the mips64el architecture)+g++-multilib-mipsel-linux-gnu(GNU C++ compiler for the mipsel architecture)+g++-multilib-s390x-linux-gnu(GNU C++ compiler for the s390x architecture)+g++-powerpc64le-linux-gnu(GNU C++ compiler for the ppc64el architecture)+g++-s390x-linux-gnu(GNU C++ compiler for the s390x architecture)+gcc(GNU C compiler)+gcc-aarch64-linux-gnu(GNU C compiler for the arm64 architecture)+gcc-arm-linux-gnueabi(GNU C compiler for the armel architecture)+gcc-arm-linux-gnueabihf(GNU C compiler for the armhf architecture)+gcc-hppa64-linux-gnu(GNU C compiler (cross compiler for hppa64-linux-gnu))+gcc-i686-linux-gnu(GNU C compiler for the i386 architecture)+gcc-mips-linux-gnu(GNU C compiler for the mips architecture)+gcc-mips64el-linux-gnuabi64(GNU C compiler for the mips64el architecture)+gcc-mipsel-linux-gnu(GNU C compiler for the mipsel architecture)+gcc-multilib(GNU C compiler (multilib files))+gcc-multilib-i686-linux-gnu(GNU C compiler for the i386 architecture)+gcc-multilib-mips-linux-gnu(GNU C compiler for the mips architecture)+gcc-multilib-mips64el-linux-gnuabi64(GNU C compiler for the mips64el architecture)+gcc-multilib-mipsel-linux-gnu(GNU C compiler for the mipsel architecture)+gcc-multilib-s390x-linux-gnu(GNU C compiler for the s390x architecture)+gcc-offload-nvptx(GCC offloading compiler to NVPTX)+gcc-powerpc64le-linux-gnu(GNU C compiler for the ppc64el architecture)+gcc-s390x-linux-gnu(GNU C compiler for the s390x architecture)+gccbrig(GNU BRIG (HSA IL) frontend)+gccgo(Go compiler, based on the GCC backend)+gccgo-aarch64-linux-gnu(Go compiler (based on GCC) for the arm64 architecture)+gccgo-arm-linux-gnueabi(Go compiler (based on GCC) for the armel architecture)+gccgo-arm-linux-gnueabihf(Go compiler (based on GCC) for the armhf architecture)+gccgo-i686-linux-gnu(Go compiler (based on GCC) for the i386 architecture)+gccgo-mips-linux-gnu(Go compiler (based on GCC) for the mips architecture)+gccgo-mips64el-linux-gnuabi64(Go compiler (based on GCC) for the mips64el architecture)+gccgo-mipsel-linux-gnu(Go compiler (based on GCC) for the mipsel architecture)+gccgo-multilib(Go compiler, based on the GCC backend (multilib files))+gccgo-multilib-i686-linux-gnu(Go compiler (based on GCC) for the i386 architecture)+gccgo-multilib-mips-linux-gnu(Go compiler (based on GCC) for the mips architecture)+gccgo-multilib-mips64el-linux-gnuabi64(Go compiler (based on GCC) for the mips64el architecture)+gccgo-multilib-mipsel-linux-gnu(Go compiler (based on GCC) for the mipsel architecture)+gccgo-multilib-s390x-linux-gnu(Go compiler (based on GCC) for the s390x architecture)+gccgo-powerpc64le-linux-gnu(Go compiler (based on GCC) for the ppc64el architecture)+gccgo-s390x-linux-gnu(Go compiler (based on GCC) for the s390x architecture)+gdc(D compiler (language version 2), based on the GCC backend)+gdc-aarch64-linux-gnu(GNU D compiler (based on GCC) for the arm64 architecture)+gdc-arm-linux-gnueabi(GNU D compiler (based on GCC) for the armel architecture)+gdc-arm-linux-gnueabihf(GNU D compiler (based on GCC) for the armhf architecture)+gdc-i686-linux-gnu(GNU D compiler (based on GCC) for the i386 architecture)+gdc-mips-linux-gnu(GNU D compiler (based on GCC) for the mips architecture)+gdc-mips64el-linux-gnuabi64(GNU D compiler (based on GCC) for the mips64el architecture)+gdc-mipsel-linux-gnu(GNU D compiler (based on GCC) for the mipsel architecture)+gdc-multilib(D compiler (language version 2) (multilib files))+gdc-multilib-i686-linux-gnu(GNU D compiler (based on GCC) for the i386 architecture)+gdc-multilib-mips-linux-gnu(GNU D compiler (based on GCC) for the mips architecture)+gdc-multilib-mips64el-linux-gnuabi64(GNU D compiler (based on GCC) for the mips64el architecture)+gdc-multilib-mipsel-linux-gnu(GNU D compiler (based on GCC) for the mipsel architecture)+gdc-multilib-s390x-linux-gnu(GNU D compiler (based on GCC) for the s390x architecture)+gdc-powerpc64le-linux-gnu(GNU D compiler (based on GCC) for the ppc64el architecture)+gdc-s390x-linux-gnu(GNU D compiler (based on GCC) for the s390x architecture)+gfortran(GNU Fortran 95 compiler)+gfortran-aarch64-linux-gnu(GNU Fortran 95 compiler for the arm64 architecture)+gfortran-arm-linux-gnueabi(GNU Fortran 95 compiler for the armel architecture)+gfortran-arm-linux-gnueabihf(GNU Fortran 95 compiler for the armhf architecture)+gfortran-i686-linux-gnu(GNU Fortran 95 compiler for the i386 architecture)+gfortran-mips-linux-gnu(GNU Fortran 95 compiler for the mips architecture)+gfortran-mips64el-linux-gnuabi64(GNU Fortran 95 compiler for the mips64el architecture)+gfortran-mipsel-linux-gnu(GNU Fortran 95 compiler for the mipsel architecture)+gfortran-multilib(GNU Fortran 95 compiler (multilib files))+gfortran-multilib-i686-linux-gnu(GNU Fortran 95 compiler for the i386 architecture)+gfortran-multilib-mips-linux-gnu(GNU Fortran 95 compiler for the mips architecture)+gfortran-multilib-mips64el-linux-gnuabi64(GNU Fortran 95 compiler for the mips64el architecture)+gfortran-multilib-mipsel-linux-gnu(GNU Fortran 95 compiler for the mipsel architecture)+gfortran-multilib-s390x-linux-gnu(GNU Fortran 95 compiler for the s390x architecture)+gfortran-powerpc64le-linux-gnu(GNU Fortran 95 compiler for the ppc64el architecture)+gfortran-s390x-linux-gnu(GNU Fortran 95 compiler for the s390x architecture)+gobjc(GNU Objective-C compiler)+gobjc++(GNU Objective-C++ compiler)+gobjc++-aarch64-linux-gnu(GNU Objective-C++ compiler for the arm64 architecture)+gobjc++-arm-linux-gnueabi(GNU Objective-C++ compiler for the armel architecture)+gobjc++-arm-linux-gnueabihf(GNU Objective-C++ compiler for the armhf architecture)+gobjc++-i686-linux-gnu(GNU Objective-C++ compiler for the i386 architecture)+gobjc++-mips-linux-gnu(GNU Objective-C++ compiler for the mips architecture)+gobjc++-mips64el-linux-gnuabi64(GNU Objective-C++ compiler for the mips64el architecture)+gobjc++-mipsel-linux-gnu(GNU Objective-C++ compiler for the mipsel architecture)+gobjc++-multilib(GNU Objective-C++ compiler (multilib files))+gobjc++-multilib-i686-linux-gnu(GNU Objective-C++ compiler for the i386 architecture)+gobjc++-multilib-mips-linux-gnu(GNU Objective-C++ compiler for the mips architecture)+gobjc++-multilib-mips64el-linux-gnuabi64(GNU Objective-C++ compiler for the mips64el architecture)+gobjc++-multilib-mipsel-linux-gnu(GNU Objective-C++ compiler for the mipsel architecture)+gobjc++-multilib-s390x-linux-gnu(GNU Objective-C++ compiler for the s390x architecture)+gobjc++-powerpc64le-linux-gnu(GNU Objective-C++ compiler for the ppc64el architecture)+gobjc++-s390x-linux-gnu(GNU Objective-C++ compiler for the s390x architecture)+gobjc-aarch64-linux-gnu(GNU Objective-C compiler for the arm64 architecture)+gobjc-arm-linux-gnueabi(GNU Objective-C compiler for the armel architecture)+gobjc-arm-linux-gnueabihf(GNU Objective-C compiler for the armhf architecture)+gobjc-i686-linux-gnu(GNU Objective-C compiler for the i386 architecture)+gobjc-mips-linux-gnu(GNU Objective-C compiler for the mips architecture)+gobjc-mips64el-linux-gnuabi64(GNU Objective-C compiler for the mips64el architecture)+gobjc-mipsel-linux-gnu(GNU Objective-C compiler for the mipsel architecture)+gobjc-multilib(GNU Objective-C compiler (multilib files))+gobjc-multilib-i686-linux-gnu(GNU Objective-C compiler for the i386 architecture)+gobjc-multilib-mips-linux-gnu(GNU Objective-C compiler for the mips architecture)+gobjc-multilib-mips64el-linux-gnuabi64(GNU Objective-C compiler for the mips64el architecture)+gobjc-multilib-mipsel-linux-gnu(GNU Objective-C compiler for the mipsel architecture)+gobjc-multilib-s390x-linux-gnu(GNU Objective-C compiler for the s390x architecture)+gobjc-powerpc64le-linux-gnu(GNU Objective-C compiler for the ppc64el architecture)+gobjc-s390x-linux-gnu(GNU Objective-C compiler for the s390x architecture)+libgphobos-dev(Phobos D standard library)
707047	mpclib3	libmpc-dev(multiple precision complex floating-point library development package)+libmpc3(multiple precision complex floating-point library)
798651	patch	patch(Apply a diff file to an original)
961370	gdbm	gdbm-l10n(GNU dbm database routines (translation files))+gdbmtool(GNU dbm database routines (command line tools))+libgdbm-compat-dev(GNU dbm database routines (legacy support development files))+libgdbm-compat4(GNU dbm database routines (legacy support runtime version))+libgdbm-dev(GNU dbm database routines (development files))+libgdbm6(GNU dbm database routines (runtime version))
1454512	mpfr4	libmpfr-dev(multiple precision floating-point computation developers tools)+libmpfr-doc(multiple precision floating-point computation documentation)+libmpfr6(multiple precision floating-point computation)
1540145	make-dfsg	make(utility for directing compilation)+make-guile(utility for directing compilation with guile support)
1564418	isl	libisl-dev(manipulating sets and relations of integer points bounded by linear constraints)+libisl19(manipulating sets and relations of integer points bounded by linear constraints)
21779372	binutils	binutils(GNU assembler, linker and binary utilities)+binutils-aarch64-linux-gnu(GNU binary utilities, for aarch64-linux-gnu target)+binutils-aarch64-linux-gnu-dbg(GNU binary utilities, for aarch64-linux-gnu target (debug symbols))+binutils-alpha-linux-gnu(GNU binary utilities, for alpha-linux-gnu target)+binutils-alpha-linux-gnu-dbg(GNU binary utilities, for alpha-linux-gnu target (debug symbols))+binutils-arm-linux-gnueabi(GNU binary utilities, for arm-linux-gnueabi target)+binutils-arm-linux-gnueabi-dbg(GNU binary utilities, for arm-linux-gnueabi target (debug symbols))+binutils-arm-linux-gnueabihf(GNU binary utilities, for arm-linux-gnueabihf target)+binutils-arm-linux-gnueabihf-dbg(GNU binary utilities, for arm-linux-gnueabihf target (debug symbols))+binutils-common(Common files for the GNU assembler, linker and binary utilities)+binutils-dev(GNU binary utilities (BFD development files))+binutils-doc(Documentation for the GNU assembler, linker and binary utilities)+binutils-for-build(GNU assembler, linker and binary utilities for the build architecture)+binutils-for-host(GNU assembler, linker and binary utilities for the host architecture)+binutils-hppa-linux-gnu(GNU binary utilities, for hppa-linux-gnu target)+binutils-hppa-linux-gnu-dbg(GNU binary utilities, for hppa-linux-gnu target (debug symbols))+binutils-hppa64-linux-gnu(GNU assembler, linker and binary utilities targeted for hppa64-linux)+binutils-hppa64-linux-gnu-dbg(GNU binutils targeted for hppa64-linux (debug symbols))+binutils-i686-gnu(GNU binary utilities, for i686-gnu target)+binutils-i686-gnu-dbg(GNU binary utilities, for i686-gnu target (debug symbols))+binutils-i686-kfreebsd-gnu(GNU binary utilities, for i686-kfreebsd-gnu target)+binutils-i686-kfreebsd-gnu-dbg(GNU binary utilities, for i686-kfreebsd-gnu target (debug symbols))+binutils-i686-linux-gnu(GNU binary utilities, for i686-linux-gnu target)+binutils-i686-linux-gnu-dbg(GNU binary utilities, for i686-linux-gnu target (debug symbols))+binutils-ia64-linux-gnu(GNU binary utilities, for ia64-linux-gnu target)+binutils-ia64-linux-gnu-dbg(GNU binary utilities, for ia64-linux-gnu target (debug symbols))+binutils-m68k-linux-gnu(GNU binary utilities, for m68k-linux-gnu target)+binutils-m68k-linux-gnu-dbg(GNU binary utilities, for m68k-linux-gnu target (debug symbols))+binutils-mips-linux-gnu(GNU binary utilities, for mips-linux-gnu target)+binutils-mips-linux-gnu-dbg(GNU binary utilities, for mips-linux-gnu target (debug symbols))+binutils-mips64-linux-gnuabi64(GNU binary utilities, for mips64-linux-gnuabi64 target)+binutils-mips64-linux-gnuabi64-dbg(GNU binary utilities, for mips64-linux-gnuabi64 target (debug symbols))+binutils-mips64-linux-gnuabin32(GNU binary utilities, for mips64-linux-gnuabin32 target)+binutils-mips64-linux-gnuabin32-dbg(GNU binary utilities, for mips64-linux-gnuabin32 target (debug symbols))+binutils-mips64el-linux-gnuabi64(GNU binary utilities, for mips64el-linux-gnuabi64 target)+binutils-mips64el-linux-gnuabi64-dbg(GNU binary utilities, for mips64el-linux-gnuabi64 target (debug symbols))+binutils-mips64el-linux-gnuabin32(GNU binary utilities, for mips64el-linux-gnuabin32 target)+binutils-mips64el-linux-gnuabin32-dbg(GNU binary utilities, for mips64el-linux-gnuabin32 target (debug symbols))+binutils-mipsel-linux-gnu(GNU binary utilities, for mipsel-linux-gnu target)+binutils-mipsel-linux-gnu-dbg(GNU binary utilities, for mipsel-linux-gnu target (debug symbols))+binutils-mipsisa32r6-linux-gnu(GNU binary utilities, for mipsisa32r6-linux-gnu target)+binutils-mipsisa32r6-linux-gnu-dbg(GNU binary utilities, for mipsisa32r6-linux-gnu target (debug symbols))+binutils-mipsisa32r6el-linux-gnu(GNU binary utilities, for mipsisa32r6el-linux-gnu target)+binutils-mipsisa32r6el-linux-gnu-dbg(GNU binary utilities, for mipsisa32r6el-linux-gnu target (debug symbols))+binutils-mipsisa64r6-linux-gnuabi64(GNU binary utilities, for mipsisa64r6-linux-gnuabi64 target)+binutils-mipsisa64r6-linux-gnuabi64-dbg(GNU binary utilities, for mipsisa64r6-linux-gnuabi64 target (debug symbols))+binutils-mipsisa64r6-linux-gnuabin32(GNU binary utilities, for mipsisa64r6-linux-gnuabin32 target)+binutils-mipsisa64r6-linux-gnuabin32-dbg(GNU binary utilities, for mipsisa64r6-linux-gnuabin32 target (debug symbols))+binutils-mipsisa64r6el-linux-gnuabi64(GNU binary utilities, for mipsisa64r6el-linux-gnuabi64 target)+binutils-mipsisa64r6el-linux-gnuabi64-dbg(GNU binary utilities, for mipsisa64r6el-linux-gnuabi64 target (debug symbols))+binutils-mipsisa64r6el-linux-gnuabin32(GNU binary utilities, for mipsisa64r6el-linux-gnuabin32 target)+binutils-mipsisa64r6el-linux-gnuabin32-dbg(GNU binary utilities, for mipsisa64r6el-linux-gnuabin32 target (debug symbols))+binutils-multiarch(Binary utilities that support multi-arch targets)+binutils-multiarch-dbg(Binary utilities that support multi-arch targets (debug symbols))+binutils-multiarch-dev(GNU binary utilities that support multi-arch targets (BFD development files))+binutils-powerpc-linux-gnu(GNU binary utilities, for powerpc-linux-gnu target)+binutils-powerpc-linux-gnu-dbg(GNU binary utilities, for powerpc-linux-gnu target (debug symbols))+binutils-powerpc-linux-gnuspe(GNU binary utilities, for powerpc-linux-gnuspe target)+binutils-powerpc-linux-gnuspe-dbg(GNU binary utilities, for powerpc-linux-gnuspe target (debug symbols))+binutils-powerpc64-linux-gnu(GNU binary utilities, for powerpc64-linux-gnu target)+binutils-powerpc64-linux-gnu-dbg(GNU binary utilities, for powerpc64-linux-gnu target (debug symbols))+binutils-powerpc64le-linux-gnu(GNU binary utilities, for powerpc64le-linux-gnu target)+binutils-powerpc64le-linux-gnu-dbg(GNU binary utilities, for powerpc64le-linux-gnu target (debug symbols))+binutils-riscv64-linux-gnu(GNU binary utilities, for riscv64-linux-gnu target)+binutils-riscv64-linux-gnu-dbg(GNU binary utilities, for riscv64-linux-gnu target (debug symbols))+binutils-s390x-linux-gnu(GNU binary utilities, for s390x-linux-gnu target)+binutils-s390x-linux-gnu-dbg(GNU binary utilities, for s390x-linux-gnu target (debug symbols))+binutils-sh4-linux-gnu(GNU binary utilities, for sh4-linux-gnu target)+binutils-sh4-linux-gnu-dbg(GNU binary utilities, for sh4-linux-gnu target (debug symbols))+binutils-source(GNU assembler, linker and binary utilities (source))+binutils-sparc64-linux-gnu(GNU binary utilities, for sparc64-linux-gnu target)+binutils-sparc64-linux-gnu-dbg(GNU binary utilities, for sparc64-linux-gnu target (debug symbols))+binutils-x86-64-kfreebsd-gnu(GNU binary utilities, for x86-64-kfreebsd-gnu target)+binutils-x86-64-kfreebsd-gnu-dbg(GNU binary utilities, for x86-64-kfreebsd-gnu target (debug symbols))+binutils-x86-64-linux-gnu(GNU binary utilities, for x86-64-linux-gnu target)+binutils-x86-64-linux-gnu-dbg(GNU binary utilities, for x86-64-linux-gnu target (debug symbols))+binutils-x86-64-linux-gnux32(GNU binary utilities, for x86-64-linux-gnux32 target)+binutils-x86-64-linux-gnux32-dbg(GNU binary utilities, for x86-64-linux-gnux32 target (debug symbols))+libbinutils(GNU binary utilities (private shared library))+libbinutils-dbg(GNU binary utilities (private shared library, debug symbols))
75053598	gcc-7	cpp-7(GNU C preprocessor)+g++-7(GNU C++ compiler)+g++-7-multilib(GNU C++ compiler (multilib support))+gcc-7(GNU C compiler)+gcc-7-base(GCC, the GNU Compiler Collection (base package))+gcc-7-hppa64-linux-gnu(GNU C compiler (cross compiler for hppa64))+gcc-7-locales(GCC, the GNU compiler collection (native language support files))+gcc-7-multilib(GNU C compiler (multilib support))+gcc-7-offload-nvptx(GCC offloading compiler to NVPTX)+gcc-7-plugin-dev(Files for GNU GCC plugin development.)+gcc-7-source(Source of the GNU Compiler Collection)+gcc-7-test-results(Test results for the GCC test suite)+gccbrig-7(GNU BRIG (HSA IL) frontend)+gccgo-7(GNU Go compiler)+gccgo-7-multilib(GNU Go compiler (multilib support))+gdc-7(GNU D compiler (version 2))+gdc-7-multilib(GNU D compiler (version 2, multilib support))+gfortran-7(GNU Fortran compiler)+gfortran-7-multilib(GNU Fortran compiler (multilib support))+gnat-7(GNU Ada compiler)+gnat-7-sjlj(GNU Ada compiler (setjump/longjump runtime library))+gobjc++-7(GNU Objective-C++ compiler)+gobjc++-7-multilib(GNU Objective-C++ compiler (multilib support))+gobjc-7(GNU Objective-C compiler)+gobjc-7-multilib(GNU Objective-C compiler (multilib support))+lib32asan4(AddressSanitizer -- a fast memory error detector (32bit))+lib32asan4-dbg(AddressSanitizer -- a fast memory error detector (32 bit debug symbols))+lib32cilkrts5(Intel Cilk Plus language extensions (32bit))+lib32cilkrts5-dbg(Intel Cilk Plus language extensions (32 bit debug symbols))+lib32gcc-7-dev(GCC support library (32 bit development files))+lib32gfortran-7-dev(Runtime library for GNU Fortran applications (32bit development files))+lib32gfortran4(Runtime library for GNU Fortran applications (32bit))+lib32gfortran4-dbg(Runtime library for GNU Fortran applications (32 bit debug symbols))+lib32go11(Runtime library for GNU Go applications (32bit))+lib32go11-dbg(Runtime library for GNU Go applications (32 bit debug symbols))+lib32gomp1(GCC OpenMP (GOMP) support library (32bit))+lib32gomp1-dbg(GCC OpenMP (GOMP) support library (32 bit debug symbols))+lib32gphobos-7-dev(Phobos D standard library (32bit development files))+lib32gphobos71(Phobos D standard library (runtime library))+lib32gphobos71-dbg(Phobos D standard library (debug symbols))+lib32objc-7-dev(Runtime library for GNU Objective-C applications (32bit development files))+lib32stdc++-7-dev(GNU Standard C++ Library v3 (development files))+lib32stdc++6-7-dbg(GNU Standard C++ Library v3 (debugging files))+lib32ubsan0(UBSan -- undefined behaviour sanitizer (32bit))+lib32ubsan0-dbg(UBSan -- undefined behaviour sanitizer (32 bit debug symbols))+libasan4(AddressSanitizer -- a fast memory error detector)+libasan4-dbg(AddressSanitizer -- a fast memory error detector (debug symbols))+libcilkrts5(Intel Cilk Plus language extensions (runtime))+libcilkrts5-dbg(Intel Cilk Plus language extensions (debug symbols))+libgcc-7-dev(GCC support library (development files))+libgccjit-7-dev(GCC just-in-time compilation (development files))+libgccjit-7-doc(GCC just-in-time compilation (documentation))+libgfortran-7-dev(Runtime library for GNU Fortran applications (development files))+libgfortran4(Runtime library for GNU Fortran applications)+libgfortran4-dbg(Runtime library for GNU Fortran applications (debug symbols))+libgnat-7(runtime for applications compiled with GNAT (shared library))+libgnat-7-dbg(runtime for applications compiled with GNAT (debugging symbols))+libgnatvsn7(GNU Ada compiler selected components (shared library))+libgnatvsn7-dbg(GNU Ada compiler selected components (debugging symbols))+libgnatvsn7-dev(GNU Ada compiler selected components (development files))+libgo11(Runtime library for GNU Go applications)+libgo11-dbg(Runtime library for GNU Go applications (debug symbols))+libgomp-plugin-nvptx1(GCC OpenMP v4.5 plugin for offloading to NVPTX)+libgomp1(GCC OpenMP (GOMP) support library)+libgomp1-dbg(GCC OpenMP (GOMP) support library (debug symbols))+libgphobos-7-dev(Phobos D standard library)+libgphobos71(Phobos D standard library (runtime library))+libgphobos71-dbg(Phobos D standard library (debug symbols))+libhsail-rt-7-dev(HSAIL runtime library (development files))+libobjc-7-dev(Runtime library for GNU Objective-C applications (development files))+libstdc++-7-dev(GNU Standard C++ Library v3 (development files))+libstdc++-7-doc(GNU Standard C++ Library v3 (documentation files))+libstdc++-7-pic(GNU Standard C++ Library v3 (shared library subset kit))+libstdc++6-7-dbg(GNU Standard C++ Library v3 (debugging files))+libubsan0(UBSan -- undefined behaviour sanitizer (runtime))+libubsan0-dbg(UBSan -- undefined behaviour sanitizer (debug symbols))+libx32asan4(AddressSanitizer -- a fast memory error detector (x32))+libx32asan4-dbg(AddressSanitizer -- a fast memory error detector (x32 debug symbols))+libx32cilkrts5(Intel Cilk Plus language extensions (x32))+libx32cilkrts5-dbg(Intel Cilk Plus language extensions (x32 debug symbols))+libx32gcc-7-dev(GCC support library (x32 development files))+libx32gfortran-7-dev(Runtime library for GNU Fortran applications (x32 development files))+libx32gfortran4(Runtime library for GNU Fortran applications (x32))+libx32gfortran4-dbg(Runtime library for GNU Fortran applications (x32 debug symbols))+libx32go11(Runtime library for GNU Go applications (x32))+libx32go11-dbg(Runtime library for GNU Go applications (x32 debug symbols))+libx32gphobos-7-dev(Phobos D standard library (x32 development files))+libx32gphobos71(Phobos D standard library (runtime library))+libx32gphobos71-dbg(Phobos D standard library (debug symbols))+libx32objc-7-dev(Runtime library for GNU Objective-C applications (x32 development files))+libx32stdc++-7-dev(GNU Standard C++ Library v3 (development files))+libx32stdc++6-7-dbg(GNU Standard C++ Library v3 (debugging files))+libx32ubsan0(UBSan -- undefined behaviour sanitizer (x32))+libx32ubsan0-dbg(UBSan -- undefined behaviour sanitizer (x32 debug symbols))
