Size	Source	Binary Packages
48997	ruby-kaminari	ruby-kaminari(pagination engine plugin for Rails 3+ and other modern frameworks)+ruby-kaminari-actionview(Kaminari Action View adapter)+ruby-kaminari-activerecord(Kaminari Active Record adapter)+ruby-kaminari-core(Kaminari's core pagination library)
52623	jackson-jaxrs-providers	libjackson2-jaxrs-providers-java(Jackson JAX-RS providers)
85560	python-defaults	libpython-all-dbg(package depending on all supported Python2 debugging packages)+libpython-all-dev(package depending on all supported Python2 development packages)+libpython-dbg(debug build of the Python2 Interpreter (version 2.7))+libpython-dev(header files and a static library for Python2)+libpython-stdlib(interactive high-level object-oriented language (Python2))+libpython2-dbg(debug build of the Python2 interpreter (version 2.7))+libpython2-dev(header files and a static library for Python2)+libpython2-stdlib(interactive high-level object-oriented language (Python2))+python(interactive high-level object-oriented language (Python2 version))+python-all(package depending on all supported Python2 runtime versions)+python-all-dbg(package depending on all supported Python2 debugging packages)+python-all-dev(package depending on all supported Python2 development packages)+python-dbg(debug build of the Python Interpreter2 (version 2.7))+python-dev(header files and a static library for Python2)+python-doc(documentation for the high-level object-oriented language Python2)+python-minimal(minimal subset of the Python2 language)+python2(interactive high-level object-oriented language (Python2 version))+python2-dbg(debug build of the Python2 interpreter (version 2.7))+python2-dev(header files and a static library for Python2)+python2-doc(documentation for the high-level object-oriented language Python2)+python2-minimal(minimal subset of the Python2 language)
85627	libhamcrest-java	libhamcrest-java(library of matchers for building test expressions)+libhamcrest-java-doc(library of matchers for building test expressions - documentation)
93576	scala-xml	scala-xml(Standard Scala XML library)
103178	cup	cup(LALR parser generator for Java(tm))
119168	alex	alex(lexical analyser generator for Haskell)
123525	node-livescript	livescript(language which compiles to JavaScript)
127006	eigenbase-resgen	libeigenbase-resgen-java(Java i18n code generator from XML files)+libeigenbase-resgen-java-doc(Java i18n code generator from XML files - documentation)
140233	python3-defaults	2to3(2to3 binary using python3)+idle(IDE for Python using Tkinter (default version))+idle3(IDE for Python using Tkinter (transitional package))+libpython3-all-dbg(package depending on all supported Python 3 debugging packages)+libpython3-all-dev(package depending on all supported Python 3 development packages)+libpython3-dbg(debug build of the Python 3 Interpreter (version 3.7))+libpython3-dev(header files and a static library for Python (default))+libpython3-stdlib(interactive high-level object-oriented language (default python3 version))+python3(interactive high-level object-oriented language (default python3 version))+python3-all(package depending on all supported Python 3 runtime versions)+python3-all-dbg(package depending on all supported Python 3 debugging packages)+python3-all-dev(package depending on all supported Python 3 development packages)+python3-dbg(debug build of the Python 3 Interpreter (version 3.7))+python3-dev(header files and a static library for Python (default))+python3-doc(documentation for the high-level object-oriented language Python 3)+python3-examples(examples for the Python language (default version))+python3-minimal(minimal subset of the Python language (default python3 version))+python3-venv(pyvenv-3 binary for python3 (default python3 version))
190557	happy	happy(Parser generator for Haskell)
253487	node-rollup	rollup(Next-generation ES6 module bundler)
297553	netqmail	qmail(a secure, reliable, efficient, simple message transfer agent)+qmail-uids-gids(user ids and group ids for qmail)
349488	fasm	fasm(fast assembler for the x86 and x86-64 architectures)
500134	ruby-sinatra	ruby-rack-protection(Protects against typical web attacks for Rack apps)+ruby-sinatra(Ruby web-development dressed in a DSL)+ruby-sinatra-contrib(collection of useful extensions to the Sinatra web framework)
622496	uuagc	uuagc(compiler for the Utrecht University Attribute Grammar system)
