Size	Source	Binary Packages
14865	hostname	hostname(utility to set/show the host name or domain name)
42433	init-system-helpers	init(metapackage ensuring an init system is installed)+init-system-helpers(helper tools for all init systems)
54431	base-passwd	base-passwd(Debian base system master password and group files)
66587	base-files	base-files(Debian base system miscellaneous files)
86814	libcap2	libcap-dev(POSIX 1003.1e capabilities (development))+libcap2(POSIX 1003.1e capabilities (library))+libcap2-bin(POSIX 1003.1e capabilities (utilities))+libpam-cap(POSIX 1003.1e capabilities (PAM module))
118580	debian-archive-keyring	debian-archive-keyring(GnuPG archive keys of the Debian archive)
158229	debianutils	debianutils(Miscellaneous utilities specific to Debian)
174390	libsemanage	libsemanage-common(Common files for SELinux policy management libraries)+libsemanage1(SELinux policy management library)+libsemanage1-dev(Header files and libraries for SELinux policy manipulation)+python-semanage(Python bindings for SELinux policy management)+python3-semanage(Python3 bindings for SELinux policy management)+ruby-semanage(Ruby bindings to for SELinux policy management)+semanage-utils(SELinux policy management utilities)
213158	libselinux	libselinux1(SELinux runtime shared libraries)+libselinux1-dev(SELinux development headers)+python-selinux(Python bindings to SELinux shared libraries)+python3-selinux(Python3 bindings to SELinux shared libraries)+ruby-selinux(Ruby bindings to SELinux shared libraries)+selinux-utils(SELinux utility programs)
213950	adduser	adduser(add and remove users and groups)
248449	sysvinit	bootlogd(daemon to log boot messages)+initscripts(scripts for initializing and shutting down the system)+sysv-rc(System-V-like runlevel change mechanism)+sysvinit-core(System-V-like init utilities)+sysvinit-utils(System-V-like utilities)
268756	dash	ash(compatibility package for dash)+dash(POSIX-compliant shell)
275249	mawk	mawk(a pattern scanning and text processing language)
278039	cdebconf	cdebconf(Debian Configuration Management System (C-implementation))+cdebconf-gtk(Gtk+ frontend for Debian Configuration Management System)+libdebconfclient0(Debian Configuration Management System (C-implementation library))+libdebconfclient0-dev(Development files for cdebconf)
341165	lz4	liblz4-1(Fast LZ compression algorithm library - runtime)+liblz4-dev(Fast LZ compression algorithm library - development files)+liblz4-tool(Fast LZ compression algorithm library - transitional package)+lz4(Fast LZ compression algorithm library - tool)
391470	zlib	lib32z1(compression library - 32 bit runtime)+lib32z1-dev(compression library - 32 bit - DO NOT USE EXCEPT FOR PACKAGING)+zlib1g(compression library - runtime)+zlib1g-dbg(compression library - development)+zlib1g-dev(compression library - development)
457170	libcap-ng	libcap-ng-dev(Development and header files for libcap-ng)+libcap-ng-utils(Utilities for analysing and setting file capabilities)+libcap-ng0(An alternate POSIX capabilities library)+python-cap-ng(Python bindings for libcap-ng)+python3-cap-ng(Python3 bindings for libcap-ng)
489163	json-c	libjson-c-dev(JSON manipulation library - development files)+libjson-c-doc(JSON manipulation library - documentation files)+libjson-c3(JSON manipulation library - shared library)
489252	libsepol	libsepol1(SELinux library for manipulating binary security policies)+libsepol1-dev(SELinux binary policy manipulation library and development files)+sepol-utils(Security Enhanced Linux policy utility programs)
493334	attr	attr(utilities for manipulating filesystem extended attributes)+libattr1(extended attribute handling - shared library)+libattr1-dev(extended attributes handling - static libraries and headers)
545893	acl	acl(access control list - utilities)+libacl1(access control list - shared library)+libacl1-dev(access control list - static libraries and headers)
573319	debconf	debconf(Debian configuration management system)+debconf-doc(debconf documentation)+debconf-i18n(full internationalization support for debconf)+debconf-utils(debconf utilities)+python-debconf(interact with debconf from Python 2)+python3-debconf(interact with debconf from Python 3)
579150	libseccomp	libseccomp-dev(high level interface to Linux seccomp filter (development files))+libseccomp2(high level interface to Linux seccomp filter)+python-seccomp(high level interface to Linux seccomp filter (Python 2 bindings))+python3-seccomp(high level interface to Linux seccomp filter (Python 3 bindings))+seccomp(helper tools for high level interface to Linux seccomp filter)
628463	kmod	kmod(tools for managing Linux kernel modules)+libkmod-dev(libkmod development files)+libkmod2(libkmod shared library)
736795	bzip2	bzip2(high-quality block-sorting file compressor - utilities)+bzip2-doc(high-quality block-sorting file compressor - documentation)+libbz2-1.0(high-quality block-sorting file compressor library - runtime)+libbz2-dev(high-quality block-sorting file compressor library - development)
747857	iptables	iptables(administration tools for packet filtering and NAT)+iptables-dev(transitional dummy package)+libip4tc-dev(Development files for libip4tc)+libip4tc0(netfilter libip4tc library)+libip6tc-dev(Development files for libip6tc)+libip6tc0(netfilter libip6tc library)+libiptc-dev(Development files for libiptc)+libiptc0(netfilter libiptc library)+libxtables-dev(netfilter xtables library -- development files)+libxtables12(netfilter xtables library)
937153	libgpg-error	gpgrt-tools(GnuPG development runtime library (executable tools))+libgpg-error-dev(GnuPG development runtime library (developer tools))+libgpg-error-l10n(library of error values and messages in GnuPG (localization files))+libgpg-error-mingw-w64-dev(library of error values and messages in GnuPG (Windows development))+libgpg-error0(GnuPG development runtime library)
959985	libffi	libffi-dev(Foreign Function Interface library (development files))+libffi6(Foreign Function Interface library runtime)+libffi6-dbg(Foreign Function Interface library runtime (debug symbols))
1029364	pam	libpam-cracklib(PAM module to enable cracklib support)+libpam-doc(Documentation of PAM)+libpam-modules(Pluggable Authentication Modules for PAM)+libpam-modules-bin(Pluggable Authentication Modules for PAM - helper binaries)+libpam-runtime(Runtime support for the PAM library)+libpam0g(Pluggable Authentication Modules library)+libpam0g-dev(Development files for PAM)
1142344	audit	audispd-plugins(Plugins for the audit event dispatcher)+auditd(User space tools for security auditing)+golang-redhat-audit-dev(Go client bindings for the libaudit library)+libaudit-common(Dynamic library for security auditing - common files)+libaudit-dev(Header files and static library for security auditing)+libaudit1(Dynamic library for security auditing)+libauparse-dev(Header files and static library for the libauparse0 library)+libauparse0(Dynamic library for parsing security auditing)+python-audit(Python bindings for security auditing)+python3-audit(Python3 bindings for security auditing)
1192561	xz-utils	liblzma-dev(XZ-format compression library - development files)+liblzma-doc(XZ-format compression library - API documentation)+liblzma5(XZ-format compression library)+xz-utils(XZ-format compression utilities)+xzdec(XZ-format compression utilities - tiny decompressors)
1198317	gzip	gzip(GNU compression utilities)+gzip-win32(GNU compression utility (win32 build))
1305715	p11-kit	libp11-kit-dev(library for loading and coordinating access to PKCS#11 modules - development)+libp11-kit0(library for loading and coordinating access to PKCS#11 modules - runtime)+p11-kit(p11-glue utilities)+p11-kit-modules(p11-glue proxy and trust modules)
1312871	libzstd	libzstd-dev(fast lossless compression algorithm -- development files)+libzstd1(fast lossless compression algorithm)+zstd(fast lossless compression algorithm -- CLI tool)
1360020	sed	sed(GNU stream editor for filtering/transforming text)
1461397	diffutils	diffutils(File comparison utilities)+diffutils-doc(Documentation for GNU diffutils in HTML format)
1512785	argon2	argon2(memory-hard hashing function - utility)+libargon2-0(memory-hard hashing function - runtime library)+libargon2-1(memory-hard hashing function - runtime library)+libargon2-dev(memory-hard hashing function - development files)
1579374	grep	grep(GNU grep, egrep and fgrep)
