Size	Source	Binary Packages
7564	node-once	node-once(Run a function only once with this module for Node.js)
9347	dh-autoreconf	dh-autoreconf(debhelper add-on to call autoreconf and clean up after the build)
10232	plexus-ant-factory	libplexus-ant-factory-java(Plexus Ant Factory)
10560	plexus-bsh-factory	libplexus-bsh-factory-java(Plexus Beanshell Factory)
10915	node-mkdirp	node-mkdirp(Recursively create directories - Node.js module)
11574	python-extras	python-extras(extensions to the Python standard library (Python 2.x))+python3-extras(extensions to the Python standard library (Python 3.x))
11817	plexus-velocity	libplexus-velocity-java(Plexus component interface to velocity)+libplexus-velocity-java-doc(API Documentation for plexus-velocity)
11831	php-timer	php-timer(Utility class for timing)
11889	plexus-build-api	libplexus-build-api-java(Incremental build API for Plexus components)
12263	php-file-iterator	php-file-iterator(FilterIterator implementation for PHP)
12310	plexus-interactivity-api	libplexus-interactivity-api-java(interactivity API for the Plexus framework)+libplexus-interactivity-api-java-doc(API Documentation for plexus-interactivity-api)
12397	plexus-sec-dispatcher	libplexus-sec-dispatcher-java(Plexus Security Dispatcher Component used by Maven)+libplexus-sec-dispatcher-java-doc(Documentation for Plexus Security Dispatcher Component)
12613	geronimo-interceptor-3.0-spec	libgeronimo-interceptor-3.0-spec-java(Geronimo API implementation of the Interceptor 3.0 spec)
12659	lua-system	lua-system(platform independent system call library for Lua)+lua-system-dev(development files for lua-system)
13457	phpunit-exporter	phpunit-exporter(export variables for visualization - PHPUnit component)
14292	phpunit-environment	phpunit-environment(functionality to handle HHVM/PHP environments - PHPUnit component)
15384	ruby-formatador	ruby-formatador(Ruby STDOUT text formatting library)
15769	liblwp-protocol-https-perl	liblwp-protocol-https-perl(HTTPS driver for LWP::UserAgent)
16788	plexus-i18n	libplexus-i18n-java(a component to support internationalization of applications using Plexus)
18347	plexus-cipher	libplexus-cipher-java(Plexus Cipher Component used by Maven)+libplexus-cipher-java-doc(Documentation for Plexus Cipher Component used by Maven)
18677	ca-certificates-java	ca-certificates-java(Common CA certificates (JKS keystore))
20220	php-token-stream	php-token-stream(Wrapper around PHP's tokenizer extension)
20709	libmoox-file-configdir-perl	libmoox-file-configdir-perl(Moo extension for File::ConfigDir)
20985	ruby-globalid	ruby-globalid(reference models by URI for Ruby on Rails)
21034	maven-reporting-impl	libmaven-reporting-impl-java(Maven Reporting API Implementation)+libmaven-reporting-impl-java-doc(Documentation for Maven Reporting API Implementation)
21722	phpunit-comparator	phpunit-comparator(functionality to compare PHP values for equality - PHPUnit component)
22746	node-minimatch	node-minimatch(Convert glob expressions into RegExp objects for Node.js)
24345	maven-clean-plugin	libmaven-clean-plugin-java(Maven clean plugin)
24642	libio-html-perl	libio-html-perl(open an HTML file with automatic charset detection)
25687	node-debug	libjs-debug(small debugging utility)+node-debug(small debugging utility for Node.js)
26577	php-fdomdocument	php-fdomdocument(extension to PHP's standard DOM)
29741	intltool-debian	intltool-debian(Help i18n of RFC822 compliant config files)
30681	libclass-c3-perl	libclass-c3-perl(pragma for using the C3 method resolution order)
30996	jansi-native	libjansi-native-java(Java library for ANSI escape sequences - native component)
32306	maven-jar-plugin	libmaven-jar-plugin-java(Maven Jar Plugin)
32381	node-lru-cache	node-lru-cache(least-recently-used cache object for Node.js)
32411	zope.exceptions	python-zope.exceptions(Zope exceptions for Python)+python3-zope.exceptions(Zope exceptions for Python 3)
33365	maven-common-artifact-filters	libmaven-common-artifact-filters-java(Maven Common Artifact Filters)+libmaven-common-artifact-filters-java-doc(Documentation for Maven Common Artifact Filters)
36348	phpunit-diff	phpunit-diff(diff implementation - stand-alone component from PHPUnit)
38755	libany-moose-perl	libany-moose-perl(module to use either Moose or Mouse, based on availability)
